model,regYear,regMonth,carCommentVolum,newsReplyVolum
02aab221aabc03b9,2016,1,132,399
02aab221aabc03b9,2016,2,160,3043
02aab221aabc03b9,2016,3,357,798
02aab221aabc03b9,2016,4,243,3821
02aab221aabc03b9,2016,5,283,933
02aab221aabc03b9,2016,6,252,143
02aab221aabc03b9,2016,7,557,623
02aab221aabc03b9,2016,8,652,1809
02aab221aabc03b9,2016,9,506,1033
02aab221aabc03b9,2016,10,649,4699
02aab221aabc03b9,2016,11,436,1948
02aab221aabc03b9,2016,12,361,1283
02aab221aabc03b9,2017,1,375,774
02aab221aabc03b9,2017,2,483,2156
02aab221aabc03b9,2017,3,848,2144
02aab221aabc03b9,2017,4,380,310
02aab221aabc03b9,2017,5,554,2579
02aab221aabc03b9,2017,6,310,546
02aab221aabc03b9,2017,7,626,132
02aab221aabc03b9,2017,8,843,2982
02aab221aabc03b9,2017,9,1058,378
02aab221aabc03b9,2017,10,784,1947
02aab221aabc03b9,2017,11,608,1113
02aab221aabc03b9,2017,12,403,2037
04e66e578f653ab9,2016,1,6,99
04e66e578f653ab9,2016,2,6,1607
04e66e578f653ab9,2016,3,4,3887
04e66e578f653ab9,2016,4,11,1695
04e66e578f653ab9,2016,5,21,1141
04e66e578f653ab9,2016,6,18,335
04e66e578f653ab9,2016,7,36,2934
04e66e578f653ab9,2016,8,33,992
04e66e578f653ab9,2016,9,63,613
04e66e578f653ab9,2016,10,46,2150
04e66e578f653ab9,2016,11,49,910
04e66e578f653ab9,2016,12,46,1979
04e66e578f653ab9,2017,1,59,1337
04e66e578f653ab9,2017,2,80,851
04e66e578f653ab9,2017,3,94,107
04e66e578f653ab9,2017,4,81,513
04e66e578f653ab9,2017,5,84,96
04e66e578f653ab9,2017,6,95,70
04e66e578f653ab9,2017,7,106,85
04e66e578f653ab9,2017,8,149,56
04e66e578f653ab9,2017,9,160,2214
04e66e578f653ab9,2017,10,190,1291
04e66e578f653ab9,2017,11,137,40
04e66e578f653ab9,2017,12,105,500
06880909932890ca,2016,1,3,675
06880909932890ca,2016,2,7,1124
06880909932890ca,2016,3,12,305
06880909932890ca,2016,4,28,137
06880909932890ca,2016,5,19,106
06880909932890ca,2016,6,32,2034
06880909932890ca,2016,7,37,89
06880909932890ca,2016,8,52,593
06880909932890ca,2016,9,47,817
06880909932890ca,2016,10,74,1756
06880909932890ca,2016,11,56,1214
06880909932890ca,2016,12,53,235
06880909932890ca,2017,1,63,766
06880909932890ca,2017,2,124,605
06880909932890ca,2017,3,95,2440
06880909932890ca,2017,4,138,2473
06880909932890ca,2017,5,178,368
06880909932890ca,2017,6,155,52
06880909932890ca,2017,7,185,110
06880909932890ca,2017,8,256,48
06880909932890ca,2017,9,372,9
06880909932890ca,2017,10,260,25
06880909932890ca,2017,11,209,2
06880909932890ca,2017,12,143,10
0797526c057dcf5b,2016,1,9,4481
0797526c057dcf5b,2016,2,13,5941
0797526c057dcf5b,2016,3,26,2454
0797526c057dcf5b,2016,4,68,3129
0797526c057dcf5b,2016,5,155,2338
0797526c057dcf5b,2016,6,215,1618
0797526c057dcf5b,2016,7,233,3710
0797526c057dcf5b,2016,8,195,2851
0797526c057dcf5b,2016,9,234,3166
0797526c057dcf5b,2016,10,258,3773
0797526c057dcf5b,2016,11,213,1410
0797526c057dcf5b,2016,12,190,1743
0797526c057dcf5b,2017,1,147,2451
0797526c057dcf5b,2017,2,215,956
0797526c057dcf5b,2017,3,392,1833
0797526c057dcf5b,2017,4,339,1492
0797526c057dcf5b,2017,5,578,1469
0797526c057dcf5b,2017,6,475,3989
0797526c057dcf5b,2017,7,583,4098
0797526c057dcf5b,2017,8,793,3667
0797526c057dcf5b,2017,9,1082,2613
0797526c057dcf5b,2017,10,1251,1870
0797526c057dcf5b,2017,11,1170,1703
0797526c057dcf5b,2017,12,851,1341
12f8b7e14947c34d,2016,1,223,43
12f8b7e14947c34d,2016,2,232,43
12f8b7e14947c34d,2016,3,270,725
12f8b7e14947c34d,2016,4,354,1887
12f8b7e14947c34d,2016,5,492,1598
12f8b7e14947c34d,2016,6,383,1128
12f8b7e14947c34d,2016,7,666,688
12f8b7e14947c34d,2016,8,431,90
12f8b7e14947c34d,2016,9,559,68
12f8b7e14947c34d,2016,10,778,64
12f8b7e14947c34d,2016,11,267,630
12f8b7e14947c34d,2016,12,263,71
12f8b7e14947c34d,2017,1,136,946
12f8b7e14947c34d,2017,2,251,81
12f8b7e14947c34d,2017,3,260,1480
12f8b7e14947c34d,2017,4,159,3582
12f8b7e14947c34d,2017,5,547,200
12f8b7e14947c34d,2017,6,358,2201
12f8b7e14947c34d,2017,7,323,5774
12f8b7e14947c34d,2017,8,543,14274
12f8b7e14947c34d,2017,9,449,8920
12f8b7e14947c34d,2017,10,495,7600
