id,forecastVolum
1,199
2,221
3,126
4,232
5,255
6,115
7,327
8,147
9,1823
10,242
11,517
12,120
13,234
14,240
15,464
16,288
17,215
18,214
19,523
20,84
21,223
22,223
23,351
24,327
25,239
26,282
27,599
28,346
29,940
30,341
31,6704
32,746
33,1551
34,404
35,768
36,756
37,1458
38,653
39,596
40,1106
41,1432
42,238
43,373
44,679
45,116
46,220
47,170
48,320
49,281
50,96
51,275
52,121
53,1132
54,130
55,309
56,92
57,286
58,245
59,292
60,185
61,186
62,81
63,386
64,117
65,190
66,191
67,127
68,193
69,118
70,104
71,305
72,186
73,335
74,135
75,2456
76,339
77,739
78,254
79,375
80,446
81,948
82,415
83,429
84,515
85,460
86,115
87,199
88,204
89,164
90,2501
91,420
92,98
93,1018
94,1197
95,2604
96,1365
97,1332
98,1633
99,1585
100,675
101,3093
102,2928
103,1181
104,977
105,1119
106,373
107,869
108,204
109,1487
110,477
111,292
112,366
113,446
114,73
115,753
116,880
117,1500
118,493
119,4130
120,498
121,1323
122,659
123,1799
124,1937
125,944
126,955
127,1152
128,311
129,320
130,450
131,447
132,398
133,880
134,151
135,142
136,943
137,303
138,300
139,993
140,270
141,923
142,118
143,970
144,168
145,620
146,651
147,796
148,220
149,173
150,204
151,308
152,141
153,294
154,194
155,465
156,95
157,45
158,85
159,297
160,504
161,316
162,75
163,397
164,119
165,954
166,206
167,229
168,366
169,722
170,299
171,238
172,184
173,55
174,95
175,182
176,42
177,661
178,277
179,275
180,386
181,644
182,618
183,818
184,333
185,727
186,256
187,933
188,635
189,544
190,754
191,712
192,750
193,745
194,354
195,277
196,289
197,314
198,177
199,880
200,380
201,364
202,141
203,1242
204,1497
205,2418
206,689
207,1389
208,651
209,2773
210,1248
211,1553
212,2102
213,1787
214,1123
215,1200
216,844
217,487
218,412
219,687
220,240
221,119
222,292
223,236
224,503
225,705
226,554
227,1068
228,501
229,927
230,496
231,749
232,556
233,795
234,1104
235,1239
236,527
237,659
238,605
239,226
240,380
241,730
242,141
243,65
244,423
245,339
246,76
247,872
248,648
249,1372
250,872
251,1256
252,526
253,670
254,589
255,1686
256,1454
257,789
258,567
259,846
260,279
261,500
262,425
263,951
264,338
265,104
266,761
267,477
268,64
269,1187
270,978
271,1634
272,726
273,1000
274,555
275,1181
276,827
277,1679
278,1606
279,950
280,956
281,837
282,425
283,301
284,399
285,664
286,457
287,356
288,883
289,732
290,335
291,1353
292,1177
293,2086
294,720
295,1603
296,610
297,1935
298,819
299,1714
300,2106
301,1572
302,1087
303,1237
304,644
305,902
306,607
307,704
308,687
309,489
310,311
311,383
312,674
313,522
314,592
315,941
316,538
317,380
318,113
319,1075
320,251
321,1102
322,811
323,520
324,232
325,332
326,187
327,161
328,292
329,411
330,83
331,39
332,977
333,749
334,249
335,1951
336,335
337,2480
338,981
339,1619
340,315
341,616
342,306
343,2615
344,1529
345,545
346,384
347,868
348,417
349,1135
350,184
351,627
352,1256
353,1309
354,807
355,494
356,436
357,1459
358,1477
359,2245
360,1066
361,1150
362,418
363,2538
364,1035
365,2430
366,2543
367,1368
368,944
369,1218
370,846
371,556
372,680
373,1017
374,305
375,231
376,811
377,833
378,99
379,1092
380,1123
381,4648
382,2038
383,522
384,249
385,1089
386,344
387,4821
388,2165
389,570
390,239
391,490
392,323
393,1000
394,275
395,829
396,715
397,232
398,320
399,380
400,769
401,681
402,439
403,1249
404,350
405,635
406,166
407,901
408,245
409,1275
410,1078
411,552
412,392
413,333
414,291
415,608
416,288
417,380
418,744
419,235
420,153
421,54
422,90
423,223
424,261
425,396
426,44
427,336
428,81
429,481
430,190
431,213
432,208
433,473
434,185
435,240
436,140
437,94
438,107
439,87
440,82
441,459
442,500
443,515
444,397
445,1712
446,1195
447,1937
448,584
449,1120
450,312
451,2287
452,610
453,2570
454,2121
455,1772
456,732
457,708
458,584
459,815
460,365
461,631
462,696
463,523
464,205
465,210
466,436
467,496
468,475
469,1217
470,182
471,537
472,138
473,1389
474,248
475,1101
476,804
477,1221
478,308
479,299
480,250
481,249
482,91
483,280
484,252
485,27
486,34
487,46
488,36
489,101
490,281
491,532
492,193
493,72
494,58
495,159
496,52
497,457
498,248
499,50
500,106
501,114
502,30
503,110
