id,forecastVolum
1,243
2,294
3,141
4,231
5,382
6,181
7,464
8,200
9,1699
10,331
11,614
12,186
13,316
14,306
15,504
16,385
17,271
18,251
19,521
20,97
21,296
22,240
23,444
24,443
25,271
26,265
27,742
28,565
29,1071
30,447
31,7444
32,824
33,1633
34,577
35,991
36,885
37,1296
38,778
39,680
40,1070
41,1264
42,277
43,513
44,705
45,157
46,367
47,260
48,383
49,433
50,164
51,456
52,165
53,1322
54,218
55,474
56,159
57,463
58,408
59,448
60,276
61,263
62,136
63,498
64,175
65,291
66,258
67,106
68,270
69,102
70,72
71,387
72,212
73,513
74,122
75,3175
76,454
77,828
78,340
79,486
80,549
81,1054
82,460
83,445
84,622
85,504
86,99
87,225
88,178
89,193
90,3167
91,497
92,79
93,1274
94,1535
95,2512
96,1499
97,1275
98,1722
99,1715
100,811
101,3262
102,3520
103,1182
104,974
105,1183
106,447
107,791
108,279
109,1526
110,497
111,289
112,528
113,460
114,32
115,833
116,961
117,1673
118,472
119,3932
120,608
121,1428
122,723
123,1867
124,2044
125,805
126,1032
127,1082
128,321
129,325
130,443
131,485
132,449
133,1036
134,262
135,214
136,1077
137,360
138,386
139,1136
140,327
141,1084
142,160
143,1158
144,256
145,816
146,846
147,895
148,326
149,260
150,251
151,354
152,162
153,361
154,236
155,367
156,93
157,40
158,45
159,256
160,464
161,316
162,56
163,302
164,103
165,996
166,222
167,177
168,290
169,539
170,260
171,230
172,120
173,35
174,80
175,149
176,38
177,763
178,278
179,255
180,397
181,810
182,845
183,882
184,384
185,730
186,268
187,1056
188,797
189,672
190,919
191,763
192,933
193,856
194,409
195,230
196,320
197,319
198,98
199,762
200,400
201,334
202,2
203,1059
204,1652
205,2108
206,684
207,1225
208,703
209,2543
210,1354
211,1705
212,1832
213,1190
214,1225
215,1086
216,815
217,507
218,485
219,689
220,98
221,77
222,360
223,242
224,264
225,1000
226,729
227,1560
228,657
229,1072
230,719
231,912
232,846
233,1199
234,1872
235,1497
236,834
237,914
238,682
239,209
240,528
241,1304
242,97
243,38
244,458
245,312
246,31
247,795
248,607
249,1046
250,814
251,919
252,541
253,597
254,557
255,1380
256,1268
257,615
258,559
259,763
260,271
261,400
262,382
263,877
264,285
265,67
266,848
267,521
268,31
269,1226
270,949
271,1586
272,728
273,792
274,595
275,985
276,787
277,1645
278,1613
279,662
280,985
281,892
282,425
283,266
284,389
285,669
286,511
287,266
288,1054
289,772
290,211
291,1871
292,1528
293,2564
294,788
295,1777
296,828
297,1750
298,962
299,2028
300,3685
301,1488
302,1416
303,1530
304,661
305,828
306,762
307,903
308,611
309,513
310,437
311,488
312,731
313,705
314,833
315,1020
316,664
317,495
318,151
319,1096
320,311
321,1206
322,1030
323,651
324,294
325,469
326,203
327,163
328,367
329,485
330,49
331,26
332,1058
333,630
334,216
335,1571
336,407
337,1753
338,876
339,1441
340,436
341,641
342,392
343,2184
344,1690
345,540
346,489
347,929
348,481
349,959
350,197
351,679
352,1005
353,1441
354,962
355,523
356,429
357,1733
358,1431
359,1859
360,971
361,1086
362,505
363,1739
364,1031
365,2101
366,3265
367,1080
368,1106
369,1322
370,745
371,571
372,683
373,1005
374,202
375,211
376,695
377,779
378,32
379,1184
380,967
381,2250
382,1478
383,434
384,291
385,1077
386,371
387,3864
388,1850
389,494
390,228
391,437
392,236
393,761
394,267
395,992
396,615
397,260
398,515
399,490
400,832
401,1025
402,628
403,1630
404,459
405,805
406,278
407,1109
408,348
409,1599
410,1392
411,775
412,568
413,485
414,454
415,679
416,372
417,531
418,765
419,355
420,275
421,87
422,85
423,513
424,456
425,680
426,43
427,547
428,113
429,651
430,272
431,384
432,390
433,666
434,309
435,396
436,233
437,119
438,156
439,125
440,87
441,478
442,542
443,489
444,360
445,1522
446,966
447,1611
448,553
449,840
450,311
451,1587
452,657
453,2206
454,1856
455,1297
456,736
457,614
458,562
459,613
460,404
461,657
462,612
463,589
464,200
465,193
466,436
467,534
468,529
469,1195
470,147
471,549
472,114
473,1336
474,229
475,1098
476,853
477,1149
478,313
479,303
480,213
481,170
482,58
483,288
484,171
485,15
486,30
487,35
488,1
489,124
490,293
491,489
492,206
493,32
494,70
495,176
496,52
497,430
498,269
499,30
500,120
501,132
502,26
503,97
504,40
505,93
506,54
507,613
508,235
509,102
510,565
511,553
512,357
513,574
514,131
515,1032
516,180
517,1457
518,242
519,353
520,352
521,1294
522,358
523,303
524,435
525,255
526,241
527,235
528,82
529,288
530,168
531,94
532,237
533,371
534,223
535,340
536,94
537,520
538,129
539,704
540,155
541,235
542,227
543,630
544,273
545,193
546,240
547,126
548,147
549,153
550,48
551,583
552,304
553,166
554,708
555,589
556,331
557,554
558,195
559,1018
560,214
561,1012
562,236
563,371
564,369
565,912
566,414
567,311
568,385
569,278
570,271
571,268
572,104
573,124
574,42
575,22
576,89
577,106
578,76
579,157
580,24
581,120
582,35
583,357
584,38
585,99
586,83
587,336
588,58
589,48
590,31
