id,forecastVolum
1,223
2,275
3,157
4,274
5,310
6,140
7,388
8,190
9,1877
10,302
11,601
12,145
13,281
14,290
15,535
16,370
17,267
18,258
19,623
20,106
21,264
22,262
23,355
24,330
25,238
26,269
27,581
28,377
29,966
30,365
31,5944
32,790
33,1610
34,415
35,809
36,732
37,1505
38,709
39,594
40,1151
41,1401
42,197
43,383
44,680
45,120
46,243
47,193
48,320
49,312
50,108
51,287
52,131
53,1174
54,151
55,323
56,94
57,333
58,272
59,317
60,196
61,194
62,95
63,412
64,131
65,220
66,205
67,154
68,255
69,177
70,125
71,370
72,234
73,438
74,185
75,3020
76,437
77,898
78,327
79,459
80,509
81,1101
82,623
83,487
84,608
85,534
86,144
87,239
88,200
89,203
90,2938
91,526
92,110
93,1270
94,1505
95,3016
96,1683
97,1643
98,2033
99,1908
100,883
101,3483
102,3391
103,1454
104,1249
105,1406
106,487
107,1053
108,251
109,1821
110,605
111,258
112,319
113,401
114,55
115,632
116,782
117,1253
118,437
119,3030
120,449
121,1123
122,581
123,1460
124,1548
125,823
126,826
127,968
128,276
129,280
130,400
131,420
132,344
133,842
134,167
135,155
136,893
137,322
138,323
139,959
140,293
141,907
142,134
143,938
144,188
145,631
146,669
147,776
148,237
149,188
150,226
151,325
152,155
153,318
154,218
155,517
156,109
157,55
158,112
159,357
160,578
161,382
162,92
163,450
164,143
165,1073
166,245
167,282
168,421
169,839
170,354
171,275
172,226
173,70
174,116
175,222
176,46
177,895
178,346
179,311
180,424
181,827
182,958
183,1109
184,420
185,955
186,322
187,1354
188,911
189,751
190,995
191,1011
192,1046
193,1010
194,448
195,336
196,394
197,377
198,185
199,1142
200,472
201,377
202,111
203,1620
204,2414
205,3518
206,997
207,1900
208,828
209,4127
210,1996
211,2478
212,3190
213,2872
214,1793
215,1684
216,1302
217,500
218,577
219,928
220,198
221,150
222,387
223,284
224,287
225,1124
226,781
227,1704
228,899
229,1481
230,757
231,1142
232,797
233,1326
234,1974
235,1866
236,1002
237,1148
238,855
239,316
240,657
241,1383
242,146
243,58
244,386
245,309
246,74
247,794
248,614
249,1194
250,771
251,1071
252,472
253,608
254,550
255,1455
256,1284
257,697
258,509
259,790
260,264
261,444
262,404
263,856
264,321
265,129
266,897
267,583
268,78
269,1399
270,1173
271,1885
272,865
273,1178
274,647
275,1399
276,1027
277,1864
278,1887
279,1115
280,1128
281,986
282,494
283,357
284,495
285,804
286,526
287,323
288,1332
289,887
290,269
291,2122
292,1982
293,3152
294,931
295,2515
296,844
297,3116
298,1167
299,2551
300,3560
301,2349
302,1611
303,1862
304,830
305,1027
306,937
307,1031
308,636
309,494
310,338
311,424
312,640
313,536
314,669
315,977
316,548
317,391
318,125
319,1105
320,299
321,1065
322,870
323,555
324,262
325,401
326,217
327,164
328,316
329,457
330,87
331,37
332,1033
333,796
334,276
335,1838
336,385
337,2419
338,1104
339,1594
340,370
341,690
342,357
343,2506
344,1610
345,607
346,438
347,890
348,464
349,1173
350,224
351,712
352,1224
353,1949
354,1356
355,737
356,380
357,2311
358,2420
359,3604
360,1574
361,1755
362,620
363,4098
364,1721
365,4011
366,4081
367,2278
368,1526
369,1987
370,1460
371,769
372,1072
373,1607
374,370
375,286
376,869
377,911
378,94
379,1211
380,1208
381,3869
382,1987
383,586
384,302
385,1216
386,388
387,3958
388,2096
389,642
390,275
391,555
392,357
393,1073
394,319
395,897
396,748
397,280
398,403
399,467
400,979
401,835
402,547
403,1473
404,418
405,794
406,205
407,1092
408,311
409,1526
410,1282
411,689
412,500
413,412
414,356
415,714
416,349
417,454
418,890
419,301
420,196
421,64
422,114
423,289
424,332
425,496
426,52
427,408
428,103
429,602
430,243
431,271
432,264
433,588
434,236
435,310
436,183
437,115
438,131
439,112
440,101
441,626
442,524
443,590
444,378
445,1746
446,1387
447,1969
448,607
449,1277
450,382
451,2561
452,682
453,2423
454,2125
455,1991
456,876
457,743
458,660
459,804
460,443
461,754
462,751
463,610
464,256
465,250
466,454
467,585
468,614
469,1429
470,217
471,665
472,181
473,1726
474,301
475,1349
476,1030
477,1569
478,372
479,334
480,295
481,273
482,101
483,360
484,274
485,27
486,32
487,43
488,40
489,118
490,303
491,523
492,225
493,80
494,74
495,183
496,66
497,488
498,297
499,56
500,130
501,131
502,32
503,113
504,59
505,106
506,69
507,487
508,162
509,75
510,505
511,420
512,267
513,411
514,102
515,855
516,109
517,1019
518,193
519,272
520,243
521,957
522,255
523,225
524,372
525,217
526,180
527,179
528,81
529,243
530,121
531,74
532,215
533,268
534,164
535,249
536,65
537,406
538,70
539,569
540,113
541,171
542,152
543,531
544,192
545,145
546,177
547,104
548,102
549,108
550,45
551,495
552,194
553,94
554,592
555,407
556,201
557,368
558,117
559,770
560,120
561,766
562,148
563,234
564,242
565,706
566,302
567,192
568,292
569,226
570,171
571,201
572,93
573,172
574,48
575,25
576,139
577,122
578,106
579,179
580,23
581,162
582,31
583,353
584,42
585,126
586,96
587,401
588,73
589,60
590,46
591,56
592,40
593,55
594,20
595,596
596,214
597,163
598,559
599,610
600,399
601,614
602,154
603,839
604,137
605,1166
606,262
607,463
608,406
609,1421
610,382
611,384
612,282
613,471
614,196
615,341
616,158
617,228
618,93
619,93
620,162
621,204
622,154
623,272
624,78
625,370
626,84
627,515
628,129
629,205
630,158
