id,forecastVolum
5369,198
5370,154
5371,102
5372,57
5373,306
5374,168
5375,389
5376,160
5377,590
5378,245
5379,303
5380,137
5381,521
5382,919
5383,246
5384,553
5385,210
5386,114
5387,214
5388,169
5389,223
5390,74
5391,37
5392,90
5393,115
5394,33
5395,187
5396,76
5397,377
5398,244
5399,977
5400,205
5401,286
5402,91
5403,320
5404,268
5405,240
5406,174
5407,146
5408,207
5409,361
5410,56
5411,78
5412,251
5413,17
5414,111
5415,20
5416,2
5417,90
5418,37
5419,64
5420,65
5421,168
5422,23
5423,165
5424,68
5425,204
5426,109
5427,102
5428,25
5429,39
5430,16
5431,22
5432,71
5433,41
5434,19
5435,345
5436,83
5437,120
5438,201
5439,237
5440,451
5441,606
5442,170
5443,456
5444,114
5445,997
5446,312
5447,343
5448,508
5449,497
5450,293
5451,277
5452,209
5453,133
5454,87
5455,123
5456,47
5457,366
5458,170
5459,145
5460,45
5461,561
5462,980
5463,1206
5464,216
5465,603
5466,284
5467,1758
5468,560
5469,502
5470,1089
5471,1003
5472,522
5473,483
5474,340
5475,179
5476,139
5477,224
5478,68
5479,2
5480,26
5481,78
5482,21
5483,69
5484,27
5485,155
5486,234
5487,26
5488,29
5489,41
5490,27
5491,414
5492,188
5493,21
5494,22
5495,27
5496,23
5497,41
5498,24
5499,47
5500,23
5501,21
5502,62
5503,85
5504,18
5505,92
5506,30
5507,347
5508,156
5509,665
5510,184
5511,89
5512,74
5513,634
5514,376
5515,59
5516,143
5517,231
5518,76
5519,41
5520,41
5521,119
5522,31
5523,42
5524,174
5525,60
5526,28
5527,265
5528,198
5529,153
5530,45
5531,265
5532,71
5533,307
5534,110
5535,238
5536,319
5537,253
5538,137
5539,245
5540,75
5541,51
5542,137
5543,89
5544,68
5545,110
5546,423
5547,68
5548,32
5549,383
5550,374
5551,1147
5552,370
5553,1035
5554,747
5555,864
5556,345
5557,467
5558,1172
5559,367
5560,318
5561,533
5562,285
5563,257
5564,218
5565,355
5566,333
5567,144
5568,130
5569,310
5570,11
5571,432
5572,161
5573,603
5574,209
5575,69
5576,49
5577,258
5578,133
5579,478
5580,289
5581,111
5582,54
5583,261
5584,172
5585,44
5586,28
5587,359
5588,66
5589,90
5590,122
5591,72
5592,51
5593,238
5594,208
5595,269
5596,95
5597,2517
5598,256
5599,417
5600,170
5601,244
5602,350
5603,458
5604,391
5605,361
5606,300
5607,290
5608,107
5609,93
5610,100
5611,274
5612,315
5613,96
5614,110
5615,371
5616,344
5617,516
5618,163
5619,2009
5620,326
5621,890
5622,256
5623,365
5624,612
5625,785
5626,766
5627,330
5628,401
5629,302
5630,202
5631,285
5632,162
5633,82
5634,20
5635,50
5636,177
5637,55
5638,70
5639,242
5640,88
5641,387
5642,30
5643,207
5644,39
5645,269
5646,212
5647,243
5648,94
5649,33
5650,57
5651,124
5652,23
5653,53
5654,105
5655,109
5656,104
5657,78
5658,130
5659,151
5660,169
5661,437
5662,146
5663,1674
5664,135
5665,393
5666,127
5667,473
5668,264
5669,420
5670,269
5671,217
5672,261
5673,188
5674,71
5675,89
5676,59
5677,47
5678,76
5679,79
5680,36
5681,102
5682,294
5683,250
5684,92
5685,253
5686,22
5687,189
5688,27
5689,215
5690,266
5691,127
5692,47
5693,80
5694,22
5695,36
5696,23
5697,48
5698,79
5699,49
5700,74
5701,159
5703,2
5704,150
5705,397
5706,448
5707,112
5708,289
5709,68
5710,216
5711,72
5712,343
5713,422
5714,170
5715,124
5716,109
5717,51
5718,31
5719,63
5720,65
5721,68
5722,26
5723,394
5724,77
5726,2
5727,312
5728,144
5729,174
5730,119
5731,348
5732,108
5733,64
5734,155
5735,205
5736,346
5737,184
5738,232
5739,532
5740,90
5741,60
5742,172
5743,190
5744,25
5745,47
5746,63
5747,47
5748,65
5749,672
5750,188
5751,664
5752,97
5753,1224
5754,233
5755,599
5756,268
5757,568
5758,526
5759,371
5760,216
5761,241
5762,231
5763,252
5764,120
5765,108
5766,61
5767,20
5768,82
5769,110
5770,23
5771,275
5772,61
5773,287
5774,210
5775,203
5776,78
5777,214
5778,63
5779,380
5780,172
5781,88
5782,52
5783,200
5784,34
5785,68
5786,72
5787,205
5788,48
5789,30
5790,80
5791,49
5792,2
5793,97
5794,102
5795,57
5796,32
5797,188
5798,44
5799,76
5800,72
5801,55
5802,51
5803,77
5804,68
5805,95
5806,48
5807,33
5808,30
5809,35
5810,18
5811,24
5812,60
5813,280
5814,15
5815,198
5816,201
5817,961
5818,515
5819,236
5820,92
5821,270
5822,85
5823,880
5824,430
5825,62
5826,81
5827,71
5828,71
5829,184
5830,29
5831,110
5832,107
5833,930
5834,159
5835,137
5836,154
5837,544
5838,651
5839,437
5840,207
5841,906
5842,254
5843,1633
5844,274
5845,312
5846,710
5847,770
5848,394
5849,374
5850,240
5851,127
5852,153
5853,174
5854,63
5702,2
5855,139
5856,136
5857,77
5858,46
5859,195
5860,115
5861,278
5862,124
5863,388
5864,231
5865,247
5866,113
5867,399
5868,666
5869,221
5870,384
5871,177
5872,98
5873,193
5874,102
5875,175
5876,78
5877,29
5878,73
5879,88
5880,28
5881,146
5882,76
5883,328
5884,234
5885,756
5886,181
5887,254
5888,79
5889,289
5890,263
5891,252
5892,125
5893,121
5894,176
5895,338
5896,44
5897,73
5898,324
5899,15
5900,74
5901,24
5902,2
5903,65
5904,25
5905,48
5906,52
5907,85
5908,20
5909,98
5910,54
5911,114
5912,76
5913,73
5914,23
5915,29
5916,15
5917,19
5918,49
5919,30
5920,18
5921,274
5922,72
5923,98
5924,185
5925,254
5926,347
5927,438
5928,138
5929,292
5930,90
5931,847
5932,220
5933,261
5934,352
5935,380
5936,221
5937,228
5938,134
5939,106
5940,72
5941,98
5942,35
5943,259
5944,131
5945,105
5946,35
5947,338
5948,689
5949,787
5950,183
5951,376
5952,229
5953,1253
5954,395
5955,326
5956,687
5957,794
5958,298
5959,304
5960,230
5961,121
5962,103
5963,177
5964,63
5965,2
5966,22
5967,55
5968,13
5969,58
5970,26
5971,91
5972,148
5973,21
5974,19
5975,28
5976,19
5977,272
5978,99
5979,17
5980,17
5981,22
5982,18
5983,27
5984,19
5985,37
5986,18
5987,14
5988,47
5989,61
5990,12
5991,69
5992,25
5993,230
5994,110
5995,459
5996,124
5997,72
5998,50
5999,415
6000,248
6001,45
6002,87
6003,145
6004,53
6005,29
6006,33
6007,82
6008,25
6009,30
6010,112
6011,55
6012,21
6013,196
6014,122
6015,90
6016,35
6017,207
6018,57
6019,187
6020,77
6021,159
6022,209
6023,191
6024,84
6025,154
6026,60
6027,35
6028,78
6029,59
6030,67
6031,74
6032,296
6033,53
6034,23
6035,233
6036,237
6037,654
6038,256
6039,693
6040,540
6041,529
6042,233
6043,316
6044,557
6045,277
6046,204
6047,329
6048,187
6049,250
6050,117
6051,190
6052,249
6053,112
6054,104
6055,221
6056,10
6057,312
6058,103
6059,417
6060,175
6061,55
6062,39
6063,197
6064,97
6065,387
6066,229
6067,99
6068,37
6069,200
6070,138
6071,37
6072,26
6073,256
6074,53
6075,66
6076,125
6077,53
6078,40
6079,184
6080,130
6081,212
6082,69
6083,1608
6084,129
6085,333
6086,107
6087,179
6088,218
6089,331
6090,226
6091,218
6092,206
6093,190
6094,98
6095,65
6096,81
6097,248
6098,297
6099,87
6100,106
6101,333
6102,266
6103,471
6104,125
6105,1358
6106,277
6107,822
6108,284
6109,321
6110,486
6111,647
6112,593
6113,296
6114,317
6115,305
6116,162
6117,271
6118,141
6119,79
6120,21
6121,36
6122,159
6123,50
6124,72
6125,236
6126,87
6127,300
6128,26
6129,178
6130,42
6131,286
6132,215
6133,269
6134,70
6135,31
6136,53
6137,123
6138,22
6139,48
6140,85
6141,97
6142,86
6143,76
6144,102
6145,128
6146,133
6147,422
6148,131
6149,1218
6150,116
6151,366
6152,120
6153,453
6154,238
6155,446
6156,254
6157,217
6158,284
6159,178
6160,68
6161,73
6162,56
6163,33
6164,50
6165,61
6166,23
6167,79
6168,250
6169,252
6170,75
6171,216
6172,17
6173,142
6174,23
6175,166
6176,239
6177,112
6178,44
6179,83
6180,14
6181,35
6182,18
6183,42
6184,59
6185,31
6186,51
6187,78
6188,85
6189,257
6190,263
6191,60
6192,190
6193,49
6194,96
6195,48
6196,201
6197,225
6198,100
6199,75
6200,81
6201,40
6202,24
6203,43
6204,48
6205,53
6206,21
6207,291
6208,67
6209,3
6210,241
6211,111
6212,111
6213,90
6214,220
6215,87
6216,48
6217,102
6218,123
6219,229
6220,113
6221,169
6222,361
6223,74
6224,52
6225,117
6226,125
6227,24
6228,31
6229,47
6230,36
6231,42
6232,309
6233,103
6234,295
6235,62
6236,606
6237,119
6238,331
6239,193
6240,282
6241,306
6242,260
6243,115
6244,177
6245,149
6246,171
6247,67
6248,66
6249,47
6250,17
6251,64
6252,90
6253,16
6254,217
6255,51
6256,208
6257,115
6258,133
6259,74
6260,101
6261,60
6262,266
6263,119
6264,65
6265,38
6266,113
6267,33
6268,64
6269,52
6270,102
6271,33
6272,26
6273,53
6274,32
6275,2
6276,61
6277,68
