id,forecastVolum
5369,232
5370,191
5371,134
5372,70
5373,397
5374,203
5375,456
5376,192
5377,696
5378,336
5379,448
5380,188
5381,548
5382,1103
5383,290
5384,682
5385,305
5386,130
5387,237
5388,178
5389,278
5390,92
5391,30
5392,94
5393,99
5394,33
5395,170
5396,83
5397,398
5398,213
5399,1217
5400,191
5401,261
5402,88
5403,331
5404,239
5405,185
5406,177
5407,149
5408,186
5409,324
5410,60
5411,83
5412,241
5413,18
5414,90
5415,17
5416,1
5417,93
5418,37
5419,71
5420,52
5421,157
5422,17
5423,153
5424,67
5425,150
5426,104
5427,103
5428,24
5429,34
5430,15
5431,20
5432,63
5433,41
5434,11
5435,359
5436,89
5437,112
5438,162
5439,259
5440,502
5441,618
5442,172
5443,435
5444,97
5445,1127
5446,297
5447,341
5448,526
5449,518
5450,260
5451,317
5452,161
5453,119
5454,90
5455,106
5456,43
5457,395
5458,160
5459,142
5460,39
5461,672
5462,1083
5463,1303
5464,253
5465,673
5466,315
5467,1603
5468,568
5469,597
5470,1010
5471,1100
5472,737
5473,585
5474,321
5475,198
5476,165
5477,202
5478,66
5479,1
5480,23
5481,66
5482,19
5483,72
5484,33
5485,143
5486,169
5487,22
5488,20
5489,44
5490,20
5491,383
5492,133
5493,17
5494,20
5495,24
5496,17
5497,37
5498,19
5499,43
5500,17
5501,15
5502,52
5503,70
5504,15
5505,103
5506,24
5507,378
5508,159
5509,490
5510,136
5511,88
5512,52
5513,573
5514,344
5515,50
5516,113
5517,171
5518,57
5519,31
5520,39
5521,139
5522,28
5523,44
5524,130
5525,73
5526,25
5527,207
5528,176
5529,148
5530,46
5531,200
5532,83
5533,248
5534,93
5535,183
5536,248
5537,187
5538,130
5539,196
5540,81
5541,53
5542,125
5543,88
5544,76
5545,77
5546,403
5547,71
5548,36
5549,283
5550,323
5551,1109
5552,284
5553,1220
5554,809
5555,776
5556,233
5557,347
5558,1248
5559,379
5560,268
5561,457
5562,192
5563,212
5564,157
5565,297
5566,310
5567,143
5568,137
5569,330
5570,8
5571,401
5572,134
5573,599
5574,198
5575,68
5576,46
5577,244
5578,134
5579,453
5580,370
5581,99
5582,41
5583,200
5584,163
5585,43
5586,26
5587,385
5588,50
5589,91
5590,131
5591,70
5592,43
5593,211
5594,177
5595,250
5596,90
5597,2216
5598,198
5599,350
5600,155
5601,164
5602,303
5603,455
5604,358
5605,297
5606,217
5607,221
5608,142
5609,94
5610,110
5611,203
5612,249
5613,110
5614,120
5615,375
5616,325
5617,484
5618,163
5619,2127
5620,263
5621,981
5622,230
5623,379
5624,497
5625,695
5626,567
5627,308
5628,327
5629,310
5630,214
5631,223
5632,176
5633,88
5634,17
5635,43
5636,169
5637,53
5638,85
5639,205
5640,106
5641,355
5642,22
5643,203
5644,37
5645,232
5646,214
5647,215
5648,97
5649,27
5650,61
5651,133
5652,22
5653,48
5654,103
5655,83
5656,90
5657,84
5658,108
5659,156
5660,163
5661,470
5662,163
5663,1610
5664,154
5665,406
5666,126
5667,511
5668,270
5669,414
5670,276
5671,213
5672,273
5673,178
5674,77
5675,99
5676,70
5677,43
5678,57
5679,67
5680,33
5681,95
5682,257
5683,230
5684,90
5685,213
5686,17
5687,166
5688,23
5689,186
5690,237
5691,114
5692,47
5693,69
5694,18
5695,30
5696,18
5697,52
5698,79
5699,40
5700,74
5701,130
5702,2
5703,1
5704,149
5705,479
5706,439
5707,102
5708,285
5709,70
5710,145
5711,77
5712,295
5713,384
5714,125
5715,97
5716,104
5717,61
5718,23
5719,54
5720,58
5721,65
5722,19
5723,373
5724,96
5725,1
5726,1
5727,303
5728,159
5729,155
5730,134
5731,351
5732,120
5733,72
5734,164
5735,204
5736,319
5737,189
5738,234
5739,610
5740,97
5741,61
5742,178
5743,197
5744,26
5745,44
5746,71
5747,57
5748,56
5749,500
5750,173
5751,502
5752,88
5753,1412
5754,193
5755,473
5756,213
5757,483
5758,540
5759,316
5760,193
5761,214
5762,252
5763,201
5764,94
5765,89
5766,63
5767,15
5768,86
5769,95
5770,19
5771,222
5772,57
5773,233
5774,163
5775,168
5776,80
5777,147
5778,57
5779,270
5780,173
5781,76
5782,48
5783,167
5784,31
5785,57
5786,76
5787,156
5788,37
5789,24
5790,70
5791,44
5792,2
5793,78
5794,91
5795,67
5796,30
5797,163
5798,43
5799,77
5800,74
5801,59
5802,52
5803,80
5804,74
5805,107
5806,44
5807,23
