id,forecastVolum
5369,233
5370,220
5371,130
5372,62
5373,337
5374,181
5375,481
5376,183
5377,793
5378,331
5379,408
5380,192
5381,517
5382,1461
5383,303
5384,639
5385,270
5386,130
5387,255
5388,191
5389,238
5390,90
5391,33
5392,101
5393,114
5394,32
5395,217
5396,104
5397,394
5398,226
5399,1213
5400,214
5401,281
5402,99
5403,323
5404,276
5405,237
5406,189
5407,163
5408,224
5409,339
5410,65
5411,86
5412,274
5413,22
5414,103
5415,24
5416,3
5417,105
5418,43
5419,80
5420,64
5421,167
5422,20
5423,203
5424,79
5425,206
5426,135
5427,134
5428,29
5429,38
5430,20
5431,24
5432,68
5433,45
5434,18
5435,458
5436,93
5437,112
5438,209
5439,317
5440,568
5441,600
5442,188
5443,536
5444,107
5445,1256
5446,338
5447,406
5448,558
5449,525
5450,316
5451,347
5452,185
5453,157
5454,115
5455,130
5456,46
5457,447
5458,155
5459,147
5460,46
5461,588
5462,1344
5463,1444
5464,269
5465,780
5466,351
5467,1605
5468,656
5469,715
5470,1594
5471,1219
5472,702
5473,620
5474,379
5475,234
5476,167
5477,188
5478,67
5479,2
5480,27
5481,90
5482,23
5483,77
5484,30
5485,169
5486,200
5487,25
5488,28
5489,49
5490,28
5491,459
5492,179
5493,17
5494,20
5495,30
5496,17
5497,44
5498,21
5499,49
5500,22
5501,19
5502,60
5503,156
5504,19
5505,90
5506,27
5507,404
5508,178
5509,558
5510,146
5511,92
5512,67
5513,577
5514,354
5515,68
5516,126
5517,180
5518,75
5519,38
5520,38
5521,116
5522,36
5523,61
5524,144
5525,85
5526,27
5527,223
5528,190
5529,154
5530,50
5531,235
5532,85
5533,256
5534,100
5535,200
5536,259
5537,196
5538,130
5539,221
5540,87
5541,63
5542,120
5543,83
5544,92
5545,108
5546,414
5547,73
5548,37
5549,338
5550,316
5551,1121
5552,306
5553,1316
5554,870
5555,761
5556,265
5557,379
5558,1496
5559,436
5560,284
5561,471
5562,220
5563,270
5564,166
5565,320
5566,410
5567,148
5568,138
5569,373
5570,10
5571,483
5572,148
5573,695
5574,202
5575,72
5576,55
5577,245
5578,147
5579,492
5580,405
5581,117
5582,38
5583,211
5584,166
5585,49
5586,25
5587,360
5588,73
5589,101
5590,131
5591,73
5592,49
5593,226
5594,213
5595,294
5596,92
5597,1878
5598,202
5599,352
5600,158
5601,200
5602,338
5603,465
5604,382
5605,316
5606,240
5607,264
5608,163
5609,103
5610,108
5611,257
5612,307
5613,111
5614,135
5615,424
5616,371
5617,527
5618,176
5619,1702
5620,304
5621,965
5622,285
5623,436
5624,554
5625,696
5626,603
5627,391
5628,367
5629,345
5630,243
5631,264
5632,215
5633,99
5634,28
5635,48
5636,209
5637,58
5638,86
5639,256
5640,104
5641,406
5642,27
5643,235
5644,39
5645,267
5646,247
5647,248
5648,89
5649,29
5650,65
5651,144
5652,26
5653,58
5654,104
5655,110
5656,95
5657,85
5658,156
5659,166
5660,172
5661,485
5662,178
5663,1646
5664,183
5665,430
5666,141
5667,498
5668,290
5669,506
5670,284
5671,239
5672,301
5673,188
5674,78
5675,92
5676,72
5677,52
5678,64
5679,73
5680,33
5681,104
5682,287
5683,273
5684,115
5685,253
5686,18
5687,203
5688,26
5689,189
5690,295
5691,132
5692,56
5693,87
5694,22
5695,43
5696,19
5697,52
5698,88
5699,41
5700,87
5701,153
5702,1
5703,1
5704,192
5705,458
5706,569
5707,103
5708,354
5709,76
5710,212
5711,80
5712,316
5713,404
5714,188
5715,112
5716,140
5717,70
5718,29
5719,56
5720,64
5721,83
5722,23
5723,367
5724,101
5725,2
5726,2
5727,315
5728,149
5729,158
5730,127
5731,408
5732,111
5733,74
5734,153
5735,212
5736,333
5737,202
5738,221
5739,540
5740,101
5741,65
5742,196
5743,176
5744,26
5745,60
5746,73
5747,62
5748,79
5749,476
5750,205
5751,503
5752,106
5753,1490
5754,233
5755,531
5756,265
5757,530
5758,542
5759,422
5760,219
5761,257
5762,287
5763,263
5764,111
5765,104
5766,85
5767,18
5768,91
5769,152
5770,21
5771,264
5772,60
5773,272
5774,182
5775,203
5776,93
5777,149
5778,65
5779,294
5780,199
5781,88
5782,53
5783,174
5784,39
5785,75
5786,76
5787,165
5788,45
5789,28
5790,79
5791,45
5792,1
5793,99
5794,88
5795,62
5796,29
5797,169
5798,42
5799,65
5800,73
5801,58
5802,57
5803,85
5804,77
5805,103
5806,48
5807,28
5808,24
5809,32
5810,14
5811,24
5812,70
5813,275
5814,11
5815,210
5816,168
5817,1223
5818,518
5819,312
5820,93
5821,236
5822,93
5823,879
5824,508
5825,67
5826,82
5827,67
5828,83
5829,162
5830,28
5831,93
5832,113
5833,970
5834,157
5835,141
5836,144
5837,643
5838,712
5839,499
5840,207
5841,1046
5842,300
5843,1574
5844,313
5845,366
5846,738
5847,885
5848,477
5849,446
5850,223
5851,129
5852,180
5853,179
5854,55
5855,121
5856,121
5857,78
5858,42
5859,153
5860,82
5861,220
5862,107
5863,373
5864,153
5865,215
5866,86
5867,277
5868,712
5869,145
5870,282
5871,125
5872,71
5873,154
5874,86
5875,129
5876,60
5877,33
5878,81
5879,83
5880,30
5881,177
5882,74
5883,328
5884,224
5885,950
5886,152
5887,209
5888,80
5889,321
5890,241
5891,204
5892,105
5893,110
5894,205
5895,297
5896,46
5897,71
5898,234
5899,14
5900,53
5901,18
5902,0
5903,50
5904,25
5905,46
5906,33
5907,79
5908,13
5909,83
5910,37
5911,91
5912,89
5913,62
5914,18
5915,22
5916,14
5917,17
5918,36
5919,26
5920,15
5921,281
5922,71
5923,80
5924,148
5925,205
5926,347
5927,423
5928,127
5929,342
5930,71
5931,1031
5932,192
5933,283
5934,370
5935,362
5936,179
5937,216
5938,111
5939,89
5940,82
5941,87
5942,40
5943,292
5944,100
5945,95
5946,36
5947,342
5948,802
5949,896
5950,175
5951,391
5952,191
5953,1152
5954,346
5955,402
5956,976
5957,789
5958,361
5959,358
5960,210
5961,146
5962,88
5963,120
5964,59
5965,1
5966,21
5967,40
5968,15
5969,43
5970,24
5971,64
5972,97
5973,20
5974,19
5975,28
5976,16
5977,183
5978,61
5979,13
5980,15
5981,20
5982,12
5983,26
5984,14
5985,22
5986,18
5987,11
5988,34
5989,60
5990,14
5991,55
5992,18
5993,159
5994,78
5995,355
5996,83
5997,49
5998,31
5999,244
6000,142
6001,36
6002,57
6003,87
6004,51
6005,23
6006,31
6007,52
6008,29
6009,41
6010,104
6011,61
6012,24
6013,140
6014,102
6015,107
6016,45
6017,115
6018,51
6019,145
6020,55
6021,114
6022,151
6023,116
6024,72
6025,112
6026,53
6027,44
6028,68
6029,49
6030,54
6031,61
6032,227
6033,48
6034,32
6035,146
6036,152
6037,603
6038,149
6039,892
6040,506
6041,409
6042,107
6043,232
6044,938
6045,266
6046,128
6047,219
6048,115
6049,130
6050,78
6051,125
6052,219
6053,89
6054,87
6055,178
6056,10
6057,313
6058,78
6059,352
6060,112
6061,47
6062,32
6063,157
6064,76
6065,250
6066,218
6067,79
6068,32
6069,140
6070,106
6071,34
6072,23
6073,182
6074,44
6075,72
6076,87
6077,50
6078,36
6079,207
6080,148
6081,214
6082,84
6083,1436
6084,158
6085,268
6086,106
6087,184
6088,224
6089,330
6090,256
6091,216
6092,206
6093,207
6094,150
6095,80
6096,78
6097,257
6098,278
6099,101
6100,106
6101,416
6102,347
6103,485
6104,158
6105,1653
6106,291
6107,929
6108,254
6109,473
6110,497
6111,656
6112,516
6113,339
6114,363
6115,315
6116,243
6117,265
6118,184
6119,77
6120,18
6121,39
6122,148
6123,40
